Seconds,Bins,,Counts
0.19,10,discard,22
0.30,40,0.5,69
0.72,70,1,68
1.72,100,1.5,64
1.76,130,2,61
3.34,160,2.5,69
3.97,190,3,67
4.60,220,3.5,71
5.20,250,4,65
5.50,280,4.5,68
5.80,310,5,62
6.13,610,10,659
6.50,910,15,644
6.85,1210,20,613
7.17,1510,25,645
7.50,1810,30,642
7.83,2110,35,636
8.17,2410,40,589
8.54,2710,45,584
8.89,3010,50,467
9.26,3310,55,458
9.66,3610,60,446
10.03,3910,65,493
10.47,4210,70,377
10.91,4510,75,273
11.26,4810,80,308
11.63,5110,85,0
12.07,5410,90,0
12.45,,,
12.79,,,
13.19,,,
13.56,,,
13.98,,,
15.72,,,
16.11,,,
16.49,,,
16.93,,,
17.30,,,
17.72,,,
18.09,,,
18.44,,,
18.83,,,
19.20,,,
19.60,,,
19.97,,,
20.29,,,
20.74,,,
21.13,,,
21.50,,,
21.92,,,
22.29,,,
22.64,,,
23.03,,,
23.41,,,
24.01,,,
24.50,,,
24.92,,,
25.29,,,
25.66,,,
26.08,,,
26.52,,,
26.98,,,
27.40,,,
28.40,,,
28.77,,,
29.14,,,
29.49,,,
29.88,,,
30.23,,,
30.63,,,
31.02,,,
31.42,,,
31.86,,,
32.23,,,
32.65,,,
33.07,,,
33.51,,,
33.97,,,
34.46,,,
34.90,,,
35.29,,,
36.36,,,
36.76,,,
37.13,,,
37.55,,,
37.89,,,
38.34,,,
38.71,,,
39.10,,,
39.52,,,
39.94,,,
40.36,,,
40.75,,,
41.15,,,
41.54,,,
41.91,,,
42.31,,,
42.66,,,
43.05,,,
43.54,,,
44.86,,,
45.28,,,
45.67,,,
46.11,,,
46.46,,,
47.69,,,
48.02,,,
48.37,,,
48.95,,,
49.69,,,
49.99,,,
50.34,,,
50.74,,,
51.08,,,
51.55,,,
51.92,,,
52.34,,,
52.76,,,
53.13,,,
53.52,,,
53.92,,,
54.36,,,
55.22,,,
55.66,,,
56.03,,,
56.42,,,
56.80,,,
57.19,,,
57.61,,,
58.03,,,
58.44,,,
58.91,,,
59.40,,,
59.77,,,
60.16,,,
60.58,,,
61.05,,,
61.42,,,
61.81,,,
62.25,,,
62.67,,,
63.02,,,
63.51,,,
63.92,,,
64.32,,,
64.76,,,
65.13,,,
65.50,,,
65.92,,,
66.29,,,
66.66,,,
67.20,,,
67.29,,,
67.73,,,
68.13,,,
68.52,,,
68.92,,,
69.43,,,
69.96,,,
70.36,,,
70.73,,,
71.10,,,
71.52,,,
71.96,,,
72.33,,,
72.75,,,
73.19,,,
73.65,,,
74.09,,,
74.42,,,
74.84,,,
75.23,,,
75.67,,,
76.14,,,
76.56,,,
76.97,,,
77.39,,,
78.18,,,
79.62,,,
80.06,,,
80.50,,,
80.92,,,
81.25,,,
81.64,,,
81.99,,,
82.38,,,
82.78,,,
83.15,,,
83.55,,,
83.96,,,
84.38,,,
84.80,,,
85.22,,,
85.61,,,
86.03,,,
86.45,,,
86.89,,,
87.31,,,
87.72,,,
88.14,,,
88.58,,,
89.00,,,
89.42,,,
89.86,,,
90.26,,,
90.70,,,
91.28,,,
91.65,,,
92.07,,,
92.46,,,
93.23,,,
93.37,,,
95.64,,,
96.01,,,
96.36,,,
96.80,,,
97.22,,,
97.64,,,
98.03,,,
98.41,,,
98.85,,,
99.27,,,
99.85,,,
100.59,,,
100.96,,,
101.31,,,
101.70,,,
102.10,,,
103.68,,,
104.12,,,
104.47,,,
104.84,,,
105.16,,,
105.60,,,
106.67,,,
107.09,,,
107.95,,,
109.23,,,
109.62,,,
109.99,,,
110.43,,,
110.81,,,
111.18,,,
111.50,,,
111.94,,,
112.62,,,
113.20,,,
113.59,,,
113.99,,,
114.38,,,
114.78,,,
115.19,,,
115.61,,,
116.05,,,
117.82,,,
118.28,,,
118.70,,,
119.07,,,
119.44,,,
119.81,,,
120.21,,,
120.63,,,
121.02,,,
121.18,,,
122.02,,,
122.35,,,
122.79,,,
123.21,,,
123.60,,,
124.02,,,
124.44,,,
124.81,,,
125.23,,,
125.57,,,
126.04,,,
126.43,,,
127.48,,,
127.85,,,
128.22,,,
128.41,,,
128.50,,,
128.89,,,
129.34,,,
129.82,,,
130.24,,,
130.94,,,
131.29,,,
131.66,,,
132.03,,,
132.42,,,
132.77,,,
133.12,,,
133.51,,,
133.89,,,
134.33,,,
134.77,,,
135.19,,,
135.63,,,
136.05,,,
136.51,,,
136.93,,,
137.44,,,
138.21,,,
138.32,,,
138.62,,,
139.04,,,
139.41,,,
139.85,,,
140.23,,,
141.04,,,
141.46,,,
141.85,,,
142.83,,,
143.22,,,
143.62,,,
143.99,,,
144.38,,,
144.75,,,
145.19,,,
145.61,,,
145.91,,,
146.54,,,
146.94,,,
147.35,,,
147.75,,,
148.14,,,
148.56,,,
148.93,,,
149.33,,,
149.79,,,
150.19,,,
150.63,,,
151.05,,,
151.39,,,
151.84,,,
152.28,,,
152.69,,,
153.14,,,
153.60,,,
154.02,,,
154.39,,,
154.81,,,
155.27,,,
155.74,,,
156.18,,,
156.55,,,
156.94,,,
157.41,,,
157.83,,,
158.27,,,
158.71,,,
159.17,,,
159.64,,,
160.10,,,
160.59,,,
161.01,,,
161.45,,,
161.84,,,
162.28,,,
162.73,,,
163.17,,,
163.56,,,
163.96,,,
164.40,,,
164.86,,,
165.65,,,
166.14,,,
166.56,,,
167.00,,,
167.44,,,
167.88,,,
168.30,,,
168.74,,,
169.16,,,
169.55,,,
170.02,,,
170.41,,,
170.85,,,
171.25,,,
171.78,,,
172.87,,,
173.36,,,
173.73,,,
174.10,,,
174.52,,,
174.96,,,
175.40,,,
175.89,,,
176.05,,,
176.15,,,
176.45,,,
176.89,,,
177.40,,,
177.84,,,
178.31,,,
178.72,,,
179.14,,,
179.58,,,
180.05,,,
180.54,,,
181.05,,,
181.53,,,
182.00,,,
182.44,,,
182.83,,,
183.25,,,
183.93,,,
184.02,,,
184.92,,,
185.34,,,
186.11,,,
186.46,,,
186.87,,,
187.36,,,
187.78,,,
188.29,,,
188.69,,,
189.08,,,
189.54,,,
189.96,,,
190.40,,,
190.78,,,
191.24,,,
191.98,,,
192.38,,,
192.84,,,
193.24,,,
193.65,,,
194.07,,,
194.51,,,
194.95,,,
195.37,,,
195.81,,,
196.00,,,
196.23,,,
196.67,,,
197.00,,,
197.35,,,
197.81,,,
198.44,,,
198.86,,,
199.32,,,
199.78,,,
200.23,,,
200.69,,,
201.11,,,
201.57,,,
201.97,,,
202.39,,,
202.83,,,
203.24,,,
203.66,,,
204.10,,,
204.52,,,
204.96,,,
205.36,,,
205.78,,,
206.22,,,
206.66,,,
207.05,,,
207.49,,,
207.93,,,
208.35,,,
208.82,,,
209.24,,,
209.68,,,
210.16,,,
210.63,,,
211.14,,,
211.35,,,
211.81,,,
212.37,,,
213.02,,,
213.23,,,
213.69,,,
214.13,,,
214.58,,,
214.95,,,
215.37,,,
215.78,,,
216.20,,,
216.67,,,
217.13,,,
217.50,,,
217.90,,,
218.31,,,
218.76,,,
219.22,,,
219.38,,,
219.61,,,
219.89,,,
220.33,,,
220.78,,,
221.24,,,
221.91,,,
222.21,,,
222.73,,,
223.24,,,
223.65,,,
224.07,,,
224.65,,,
224.98,,,
225.44,,,
225.86,,,
226.32,,,
226.77,,,
227.18,,,
227.60,,,
228.04,,,
228.46,,,
228.90,,,
229.32,,,
229.51,,,
229.72,,,
230.18,,,
230.62,,,
230.76,,,
230.85,,,
231.02,,,
232.92,,,
233.36,,,
233.80,,,
234.24,,,
234.68,,,
235.40,,,
235.89,,,
236.31,,,
236.75,,,
237.22,,,
237.61,,,
238.03,,,
238.45,,,
238.86,,,
239.30,,,
239.72,,,
240.14,,,
240.58,,,
240.98,,,
241.39,,,
241.81,,,
242.23,,,
242.67,,,
243.04,,,
243.65,,,
244.13,,,
244.55,,,
244.95,,,
245.39,,,
245.85,,,
246.25,,,
246.69,,,
247.29,,,
248.52,,,
248.96,,,
249.41,,,
249.82,,,
250.22,,,
250.66,,,
251.12,,,
251.54,,,
252.01,,,
252.52,,,
253.31,,,
253.72,,,
255.09,,,
255.49,,,
255.88,,,
256.33,,,
256.79,,,
257.21,,,
257.65,,,
258.07,,,
258.51,,,
258.97,,,
259.34,,,
259.83,,,
260.25,,,
260.69,,,
261.09,,,
261.48,,,
261.92,,,
262.34,,,
262.78,,,
263.22,,,
263.66,,,
264.10,,,
264.57,,,
264.96,,,
265.40,,,
265.82,,,
266.33,,,
266.75,,,
267.22,,,
267.63,,,
268.10,,,
268.65,,,
269.14,,,
269.63,,,
270.12,,,
270.56,,,
270.95,,,
271.37,,,
271.81,,,
272.28,,,
272.72,,,
273.16,,,
273.60,,,
274.02,,,
274.46,,,
274.85,,,
275.16,,,
275.34,,,
275.44,,,
275.97,,,
276.43,,,
276.92,,,
276.99,,,
277.25,,,
277.66,,,
278.08,,,
278.55,,,
279.03,,,
279.52,,,
279.87,,,
280.36,,,
280.82,,,
281.26,,,
281.68,,,
282.10,,,
282.52,,,
282.96,,,
283.40,,,
283.82,,,
284.28,,,
284.70,,,
285.16,,,
285.58,,,
286.07,,,
286.49,,,
286.88,,,
287.53,,,
287.83,,,
288.32,,,
288.76,,,
289.20,,,
289.58,,,
289.97,,,
290.37,,,
290.81,,,
291.25,,,
291.69,,,
292.11,,,
292.55,,,
293.24,,,
293.55,,,
294.03,,,
294.41,,,
294.85,,,
295.03,,,
295.24,,,
295.71,,,
296.17,,,
296.61,,,
297.08,,,
297.52,,,
298.00,,,
298.45,,,
298.86,,,
299.28,,,
299.70,,,
300.16,,,
300.61,,,
301.09,,,
301.49,,,
302.02,,,
302.46,,,
302.95,,,
303.46,,,
304.37,,,
305.41,,,
305.90,,,
307.06,,,
307.64,,,
308.73,,,
309.57,,,
309.82,,,
310.27,,,
310.78,,,
311.24,,,
311.66,,,
312.15,,,
312.63,,,
313.10,,,
313.61,,,
314.00,,,
316.58,,,
317.56,,,
317.97,,,
318.48,,,
318.88,,,
319.37,,,
322.34,,,
322.71,,,
323.13,,,
323.55,,,
324.01,,,
324.36,,,
324.80,,,
325.31,,,
325.75,,,
326.22,,,
326.66,,,
326.96,,,
327.35,,,
327.84,,,
329.86,,,
330.88,,,
331.33,,,
331.72,,,
332.09,,,
332.49,,,
332.88,,,
333.25,,,
333.65,,,
334.27,,,
334.76,,,
335.20,,,
335.64,,,
336.34,,,
336.57,,,
337.04,,,
337.46,,,
337.87,,,
338.31,,,
338.78,,,
339.24,,,
339.62,,,
340.08,,,
340.54,,,
340.96,,,
341.36,,,
341.70,,,
342.10,,,
342.56,,,
343.03,,,
343.26,,,
343.45,,,
343.91,,,
344.35,,,
344.79,,,
345.21,,,
345.63,,,
346.05,,,
346.65,,,
347.05,,,
347.46,,,
347.86,,,
348.25,,,
348.67,,,
349.04,,,
349.46,,,
349.90,,,
350.34,,,
350.76,,,
351.25,,,
351.69,,,
352.15,,,
352.55,,,
352.97,,,
353.38,,,
353.80,,,
354.22,,,
354.66,,,
355.08,,,
355.50,,,
355.96,,,
356.10,,,
356.22,,,
356.70,,,
357.24,,,
357.63,,,
357.75,,,
357.87,,,
358.03,,,
358.52,,,
358.86,,,
359.03,,,
359.33,,,
359.79,,,
360.23,,,
360.68,,,
361.14,,,
361.53,,,
361.93,,,
362.32,,,
362.77,,,
363.16,,,
363.60,,,
364.02,,,
364.48,,,
364.95,,,
365.39,,,
365.81,,,
366.27,,,
366.74,,,
367.15,,,
367.60,,,
367.99,,,
368.45,,,
368.85,,,
369.31,,,
369.75,,,
370.24,,,
370.68,,,
371.10,,,
371.54,,,
372.01,,,
372.49,,,
372.75,,,
373.84,,,
374.19,,,
374.58,,,
375.03,,,
375.44,,,
375.88,,,
376.37,,,
376.81,,,
377.28,,,
377.74,,,
378.21,,,
378.69,,,
379.11,,,
379.58,,,
380.02,,,
380.41,,,
380.81,,,
380.92,,,
381.39,,,
381.90,,,
381.97,,,
382.22,,,
382.69,,,
383.52,,,
383.59,,,
383.80,,,
384.34,,,
384.80,,,
385.03,,,
385.08,,,
385.29,,,
385.75,,,
386.29,,,
386.40,,,
386.59,,,
387.01,,,
387.42,,,
387.89,,,
388.35,,,
388.77,,,
389.21,,,
389.65,,,
390.16,,,
390.63,,,
391.09,,,
391.53,,,
392.09,,,
392.25,,,
392.49,,,
392.93,,,
393.39,,,
393.86,,,
394.27,,,
394.69,,,
395.18,,,
395.64,,,
396.11,,,
396.60,,,
397.01,,,
397.43,,,
397.87,,,
398.27,,,
398.71,,,
399.13,,,
399.59,,,
400.03,,,
400.47,,,
400.92,,,
401.38,,,
401.80,,,
402.22,,,
402.80,,,
402.98,,,
403.49,,,
404.54,,,
405.10,,,
405.49,,,
405.98,,,
406.42,,,
406.84,,,
407.30,,,
407.74,,,
408.18,,,
408.58,,,
409.90,,,
410.37,,,
410.88,,,
411.06,,,
411.67,,,
412.15,,,
412.53,,,
413.01,,,
413.50,,,
413.94,,,
414.43,,,
414.85,,,
415.29,,,
415.73,,,
416.19,,,
416.59,,,
417.01,,,
417.47,,,
417.89,,,
418.35,,,
418.86,,,
419.24,,,
419.68,,,
420.12,,,
420.91,,,
421.09,,,
421.72,,,
422.19,,,
422.60,,,
423.04,,,
423.44,,,
423.90,,,
424.37,,,
424.86,,,
425.25,,,
425.64,,,
426.06,,,
426.53,,,
426.92,,,
427.20,,,
427.43,,,
428.55,,,
429.04,,,
429.89,,,
430.20,,,
430.68,,,
431.08,,,
431.47,,,
431.89,,,
432.33,,,
432.77,,,
433.21,,,
433.40,,,
433.59,,,
434.07,,,
434.56,,,
436.44,,,
436.98,,,
437.37,,,
437.84,,,
438.25,,,
438.69,,,
439.11,,,
439.53,,,
440.02,,,
440.51,,,
440.97,,,
441.48,,,
442.02,,,
442.48,,,
442.94,,,
443.41,,,
443.85,,,
444.27,,,
444.71,,,
445.15,,,
445.57,,,
445.99,,,
446.38,,,
446.82,,,
447.26,,,
447.70,,,
448.15,,,
448.56,,,
449.21,,,
449.35,,,
449.79,,,
450.28,,,
450.82,,,
451.05,,,
451.47,,,
451.95,,,
452.37,,,
452.84,,,
453.30,,,
453.83,,,
454.55,,,
456.53,,,
457.02,,,
457.43,,,
457.87,,,
458.36,,,
458.76,,,
459.20,,,
459.64,,,
460.06,,,
460.52,,,
460.96,,,
461.43,,,
461.91,,,
462.36,,,
462.61,,,
463.70,,,
463.96,,,
464.63,,,
465.03,,,
465.49,,,
466.07,,,
466.95,,,
467.05,,,
467.28,,,
467.77,,,
468.37,,,
468.79,,,
469.28,,,
469.72,,,
470.13,,,
470.58,,,
470.99,,,
471.43,,,
471.88,,,
472.32,,,
472.76,,,
473.20,,,
473.66,,,
474.13,,,
474.59,,,
475.01,,,
475.43,,,
475.82,,,
476.26,,,
476.71,,,
477.15,,,
477.59,,,
478.03,,,
478.47,,,
478.91,,,
479.35,,,
479.82,,,
480.28,,,
480.75,,,
481.16,,,
481.61,,,
482.05,,,
482.46,,,
482.93,,,
483.39,,,
483.79,,,
484.23,,,
484.67,,,
485.04,,,
485.09,,,
485.23,,,
485.44,,,
485.51,,,
485.78,,,
485.90,,,
486.55,,,
486.81,,,
486.95,,,
487.48,,,
487.80,,,
487.97,,,
488.43,,,
488.85,,,
489.27,,,
489.71,,,
490.13,,,
490.54,,,
491.01,,,
491.45,,,
491.89,,,
492.38,,,
492.50,,,
492.77,,,
493.22,,,
493.68,,,
494.00,,,
494.07,,,
494.56,,,
495.00,,,
495.44,,,
495.91,,,
496.33,,,
496.74,,,
497.21,,,
497.70,,,
498.18,,,
498.63,,,
498.90,,,
499.02,,,
499.21,,,
499.65,,,
500.06,,,
500.53,,,
501.02,,,
501.50,,,
501.95,,,
502.48,,,
502.90,,,
503.36,,,
503.78,,,
504.24,,,
504.73,,,
505.22,,,
505.68,,,
506.22,,,
506.66,,,
507.08,,,
507.54,,,
507.98,,,
508.45,,,
508.89,,,
509.31,,,
509.77,,,
510.26,,,
510.72,,,
511.26,,,
511.77,,,
512.19,,,
512.60,,,
513.04,,,
513.70,,,
513.90,,,
514.39,,,
514.83,,,
515.58,,,
516.04,,,
516.46,,,
516.88,,,
517.32,,,
517.76,,,
518.22,,,
518.71,,,
519.20,,,
519.62,,,
520.08,,,
520.50,,,
520.92,,,
521.36,,,
521.82,,,
522.26,,,
522.75,,,
523.24,,,
523.70,,,
524.17,,,
524.68,,,
525.12,,,
525.56,,,
526.00,,,
526.44,,,
526.72,,,
526.95,,,
527.49,,,
528.07,,,
529.16,,,
529.72,,,
530.25,,,
530.90,,,
531.60,,,
531.78,,,
531.95,,,
533.27,,,
533.62,,,
534.04,,,
534.45,,,
534.89,,,
535.31,,,
535.75,,,
536.20,,,
536.68,,,
537.15,,,
537.61,,,
538.08,,,
538.26,,,
538.75,,,
539.19,,,
539.75,,,
540.40,,,
541.00,,,
541.49,,,
542.02,,,
542.58,,,
543.02,,,
543.42,,,
543.90,,,
544.39,,,
544.97,,,
545.55,,,
545.92,,,
546.50,,,
546.90,,,
547.36,,,
547.83,,,
548.27,,,
548.69,,,
549.13,,,
549.55,,,
549.99,,,
550.45,,,
550.92,,,
551.38,,,
551.85,,,
552.29,,,
552.73,,,
553.22,,,
553.66,,,
554.07,,,
554.52,,,
554.96,,,
555.40,,,
555.79,,,
556.26,,,
556.68,,,
557.12,,,
557.58,,,
558.02,,,
558.58,,,
559.51,,,
559.74,,,
560.18,,,
560.60,,,
561.06,,,
561.48,,,
561.90,,,
562.41,,,
562.74,,,
562.87,,,
563.36,,,
563.90,,,
564.64,,,
565.06,,,
565.45,,,
565.85,,,
566.27,,,
566.73,,,
567.24,,,
567.73,,,
568.17,,,
568.61,,,
569.07,,,
569.56,,,
570.00,,,
570.47,,,
570.91,,,
571.40,,,
571.47,,,
571.79,,,
572.26,,,
572.88,,,
573.09,,,
573.25,,,
573.72,,,
574.16,,,
574.62,,,
575.09,,,
575.62,,,
576.16,,,
576.60,,,
576.99,,,
577.50,,,
577.74,,,
577.88,,,
578.39,,,
578.78,,,
579.36,,,
579.78,,,
580.24,,,
580.75,,,
581.22,,,
581.71,,,
582.10,,,
582.54,,,
583.10,,,
583.40,,,
583.84,,,
584.31,,,
585.17,,,
585.86,,,
586.72,,,
587.12,,,
587.53,,,
587.93,,,
588.32,,,
588.74,,,
589.14,,,
589.58,,,
590.02,,,
590.44,,,
590.90,,,
591.37,,,
591.78,,,
592.25,,,
592.43,,,
592.55,,,
592.71,,,
593.32,,,
593.85,,,
594.45,,,
594.73,,,
595.13,,,
595.52,,,
595.94,,,
596.31,,,
597.08,,,
597.50,,,
597.91,,,
598.40,,,
598.84,,,
599.24,,,
599.63,,,
600.07,,,
600.56,,,
601.00,,,
601.65,,,
601.93,,,
602.44,,,
602.88,,,
603.39,,,
603.79,,,
604.23,,,
604.67,,,
605.14,,,
605.27,,,
605.62,,,
606.11,,,
606.57,,,
607.04,,,
607.71,,,
608.11,,,
609.55,,,
609.96,,,
610.41,,,
610.64,,,
611.31,,,
611.75,,,
612.26,,,
612.75,,,
613.22,,,
613.63,,,
614.01,,,
614.45,,,
615.03,,,
615.47,,,
615.93,,,
616.33,,,
616.75,,,
617.16,,,
617.58,,,
618.16,,,
618.60,,,
618.97,,,
619.07,,,
619.23,,,
619.49,,,
619.97,,,
620.41,,,
620.81,,,
621.27,,,
621.71,,,
622.13,,,
622.60,,,
623.06,,,
623.55,,,
623.97,,,
624.36,,,
624.78,,,
624.87,,,
625.08,,,
625.57,,,
625.94,,,
626.40,,,
626.96,,,
627.45,,,
628.08,,,
628.56,,,
629.05,,,
629.52,,,
630.00,,,
630.40,,,
630.89,,,
631.30,,,
631.79,,,
632.23,,,
632.65,,,
633.12,,,
633.65,,,
634.07,,,
634.53,,,
634.88,,,
635.34,,,
635.79,,,
636.25,,,
636.69,,,
637.13,,,
637.60,,,
638.06,,,
638.62,,,
638.71,,,
638.87,,,
639.76,,,
639.99,,,
640.45,,,
640.87,,,
641.34,,,
641.73,,,
642.15,,,
642.61,,,
643.12,,,
643.45,,,
644.40,,,
644.59,,,
644.82,,,
645.24,,,
645.70,,,
646.14,,,
646.65,,,
647.07,,,
647.70,,,
647.86,,,
648.30,,,
648.77,,,
649.25,,,
649.65,,,
650.14,,,
650.53,,,
651.02,,,
651.46,,,
651.97,,,
652.71,,,
653.18,,,
653.62,,,
654.04,,,
654.55,,,
654.99,,,
655.43,,,
655.85,,,
656.29,,,
657.68,,,
658.12,,,
658.52,,,
658.87,,,
658.96,,,
659.40,,,
659.82,,,
660.56,,,
660.82,,,
661.26,,,
661.68,,,
662.12,,,
662.77,,,
663.21,,,
663.95,,,
664.18,,,
664.67,,,
665.23,,,
665.53,,,
665.67,,,
665.90,,,
666.37,,,
667.46,,,
667.76,,,
668.18,,,
668.62,,,
669.11,,,
669.57,,,
669.99,,,
670.48,,,
670.94,,,
671.43,,,
672.38,,,
672.77,,,
673.22,,,
673.70,,,
674.17,,,
674.54,,,
674.96,,,
675.42,,,
675.84,,,
676.28,,,
676.72,,,
677.16,,,
677.65,,,
678.09,,,
678.56,,,
679.07,,,
679.53,,,
679.97,,,
680.46,,,
680.93,,,
681.41,,,
681.88,,,
682.39,,,
682.88,,,
683.32,,,
683.80,,,
684.25,,,
684.71,,,
685.22,,,
685.73,,,
686.20,,,
686.68,,,
687.17,,,
687.68,,,
688.10,,,
688.52,,,
689.01,,,
689.45,,,
689.89,,,
690.52,,,
690.63,,,
691.10,,,
691.49,,,
691.91,,,
692.33,,,
692.81,,,
693.32,,,
694.02,,,
694.49,,,
694.93,,,
695.39,,,
695.81,,,
696.32,,,
696.81,,,
697.25,,,
697.71,,,
698.15,,,
698.69,,,
699.13,,,
699.73,,,
700.22,,,
700.64,,,
701.08,,,
701.52,,,
701.92,,,
702.33,,,
702.84,,,
703.33,,,
703.82,,,
704.26,,,
704.70,,,
705.17,,,
705.61,,,
706.07,,,
706.56,,,
707.02,,,
707.54,,,
708.05,,,
708.51,,,
708.95,,,
709.42,,,
709.88,,,
710.62,,,
711.11,,,
711.55,,,
712.02,,,
712.53,,,
713.02,,,
713.48,,,
713.94,,,
714.41,,,
714.83,,,
715.41,,,
715.71,,,
716.22,,,
716.64,,,
717.06,,,
717.50,,,
718.03,,,
718.52,,,
718.96,,,
719.40,,,
719.84,,,
720.38,,,
720.86,,,
721.35,,,
721.86,,,
722.26,,,
722.70,,,
723.12,,,
723.58,,,
724.07,,,
724.63,,,
725.30,,,
725.69,,,
726.11,,,
726.71,,,
726.90,,,
727.90,,,
728.02,,,
728.27,,,
728.78,,,
729.29,,,
729.78,,,
730.29,,,
730.78,,,
731.17,,,
731.64,,,
732.08,,,
732.52,,,
733.03,,,
733.52,,,
